Patient	Sample	Type	Retrogene	Variant_Type	EXP
001	001N	Normal	NO	NA	95.236
001	001T	Tumor	NO	NA	62.514
002	002N	Normal	NO	NA	122.656
002	002T	Tumor	NO	NA	48.901
003	003N	Normal	NO	NA	152.821
003	003T	Tumor	NO	NA	121.62
004	004N	Normal	NO	NA	87.101
004	004T	Tumor	NO	NA	76.541
006	006N	Normal	NO	NA	142.255
006	006T	Tumor	NO	NA	116.799
009	009N	Normal	NO	NA	336.526
009	009T	Tumor	NO	NA	68.109
010	010N	Normal	NO	NA	150.232
010	010T	Tumor	NO	NA	78.766
011	011N	Normal	NO	NA	104.157
011	011T	Tumor	NO	NA	102.008
012	012N	Normal	NO	NA	84.916
012	012T	Tumor	NO	NA	52.83
014	014N	Normal	NO	NA	105.681
014	014T	Tumor	NO	NA	103.143
015	015N	Normal	NO	NA	94.826
015	015T	Tumor	NO	NA	92.307
016	016N	Normal	NO	NA	112.352
016	016T	Tumor	NO	NA	32.816
017	017N	Normal	NO	NA	103.638
017	017T	Tumor	NO	NA	92.016
019	019N	Normal	NO	NA	117.263
019	019T	Tumor	NO	NA	79.707
020	020N	Normal	NO	NA	99.386
020	020T	Tumor	NO	NA	57.062
022	022N	Normal	NO	NA	81.731
022	022T	Tumor	NO	NA	66.1
023	023N	Normal	NO	NA	286.84
023	023T	Tumor	NO	NA	75.959
024	024N	Normal	NO	NA	101.261
024	024T	Tumor	NO	NA	135.835
026	026N	Normal	NO	NA	108.962
026	026T	Tumor	NO	NA	47.027
029	029N	Normal	NO	NA	122.071
029	029T	Tumor	NO	NA	64.809
030	030N	Normal	NO	NA	95.664
030	030T	Tumor	NO	NA	51.825
031	031N	Normal	NO	NA	85.549
031	031T	Tumor	NO	NA	64.285
032	032N	Normal	NO	NA	123.171
032	032T	Tumor	NO	NA	97.242
033	033N	Normal	NO	NA	94.086
033	033T	Tumor	NO	NA	51.07
036	036N	Normal	NO	NA	123.808
036	036T	Tumor	NO	NA	72.6
037	037N	Normal	NO	NA	116.714
037	037T	Tumor	NO	NA	83.468
039	039N	Normal	NO	NA	85.541
039	039T	Tumor	NO	NA	50.141
040	040N	Normal	NO	NA	93.787
040	040T	Tumor	NO	NA	43.17
041	041N	Normal	NO	NA	99.813
041	041T	Tumor	NO	NA	98.225
043	043N	Normal	NO	NA	63.941
043	043T	Tumor	NO	NA	50.918
044	044N	Normal	NO	NA	97.59
044	044T	Tumor	NO	NA	131.383
045	045N	Normal	NO	NA	108.138
045	045T	Tumor	NO	NA	41.872
046	046N	Normal	NO	NA	123.45
046	046T	Tumor	NO	NA	82.598
047	047N	Normal	NO	NA	120.893
047	047T	Tumor	YES	Somatic	81.71
048	048N	Normal	NO	NA	104.932
048	048T	Tumor	NO	NA	55.445
049	049N	Normal	NO	NA	120.986
049	049T	Tumor	NO	NA	47.514
050	050N	Normal	NO	NA	114.209
050	050T	Tumor	NO	NA	44.735
053	053N	Normal	NO	NA	167.917
053	053T	Tumor	NO	NA	80.443
054	054N	Normal	NO	NA	171.044
054	054T	Tumor	NO	NA	177.276
055	055N	Normal	NO	NA	131.447
055	055T	Tumor	NO	NA	117.825
056	056N	Normal	NO	NA	132.914
056	056T	Tumor	NO	NA	126.159
057	057N	Normal	NO	NA	168.976
057	057T	Tumor	NO	NA	111.971
060	060N	Normal	YES	Germline	128.218
060	060T	Tumor	YES	Germline	119.357
061	061N	Normal	NO	NA	142.443
061	061T	Tumor	NO	NA	102.912
062	062N	Normal	YES	Germline	158.281
062	062T	Tumor	YES	Germline	88.438
063	063N	Normal	NO	NA	119.72
063	063T	Tumor	NO	NA	78.607
067	067N	Normal	NO	NA	118.482
067	067T	Tumor	NO	NA	84.598
068	068N	Normal	NO	NA	140.109
068	068T	Tumor	NO	NA	129.104
069	069N	Normal	NO	NA	142.32
069	069T	Tumor	NO	NA	85.616
070	070N	Normal	NO	NA	138.821
070	070T	Tumor	NO	NA	98.628
071	071N	Normal	NO	NA	113.43
071	071T	Tumor	NO	NA	52.025
072	072N	Normal	NO	NA	121.302
072	072T	Tumor	NO	NA	54.221
073	073N	Normal	NO	NA	133.317
073	073T	Tumor	NO	NA	85.223
074	074N	Normal	NO	NA	131.551
074	074T	Tumor	NO	NA	52.539
075	075N	Normal	NO	NA	107.769
075	075T	Tumor	NO	NA	108.475
076	076N	Normal	NO	NA	119.363
076	076T	Tumor	NO	NA	56.925
077	077N	Normal	NO	NA	116.869
077	077T	Tumor	NO	NA	63.894
078	078N	Normal	NO	NA	99.904
078	078T	Tumor	NO	NA	105.07
079	079N	Normal	NO	NA	118.886
079	079T	Tumor	NO	NA	60.899
080	080N	Normal	NO	NA	93.091
080	080T	Tumor	NO	NA	54.351
081	081N	Normal	NO	NA	105.17
081	081T	Tumor	NO	NA	69.01
082	082N	Normal	NO	NA	125.99
082	082T	Tumor	NO	NA	46.509
083	083N	Normal	NO	NA	81.401
083	083T	Tumor	NO	NA	77.318
084	084N	Normal	NO	NA	109.081
084	084T	Tumor	NO	NA	75.828
085	085N	Normal	NO	NA	80.472
085	085T	Tumor	NO	NA	57.052
086	086N	Normal	NO	NA	100.483
086	086T	Tumor	NO	NA	32.097
087	087N	Normal	NO	NA	102.248
087	087T	Tumor	NO	NA	37.321
088	088N	Normal	NO	NA	100.062
088	088T	Tumor	NO	NA	64.731
089	089N	Normal	NO	NA	82.218
089	089T	Tumor	NO	NA	41.356
090	090N	Normal	NO	NA	114.055
090	090T	Tumor	NO	NA	78.693
091	091N	Normal	NO	NA	120.513
091	091T	Tumor	NO	NA	120.534
092	092N	Normal	NO	NA	91.813
092	092T	Tumor	NO	NA	84.542
093	093N	Normal	NO	NA	112.044
093	093T	Tumor	NO	NA	53.652
094	094N	Normal	NO	NA	121.088
094	094T	Tumor	NO	NA	91.862
095	095N	Normal	YES	Germline	66.451
095	095T	Tumor	YES	Germline	87.023
097	097N	Normal	NO	NA	108.315
097	097T	Tumor	NO	NA	70.278
098	098N	Normal	NO	NA	102.843
098	098T	Tumor	NO	NA	53.583
099	099N	Normal	NO	NA	97.245
099	099T	Tumor	NO	NA	98.865
100	100N	Normal	NO	NA	97.819
100	100T	Tumor	NO	NA	46.448
101	101N	Normal	NO	NA	95.644
101	101T	Tumor	NO	NA	66.995
102	102N	Normal	NO	NA	126.553
102	102T	Tumor	NO	NA	83.012
105	105N	Normal	NO	NA	107.439
105	105T	Tumor	NO	NA	79.098
106	106N	Normal	NO	NA	104.06
106	106T	Tumor	NO	NA	85.677
107	107N	Normal	NO	NA	79.692
107	107T	Tumor	NO	NA	67.45
108	108N	Normal	NO	NA	125.034
108	108T	Tumor	NO	NA	122.226
109	109N	Normal	NO	NA	97.786
109	109T	Tumor	NO	NA	59.32
124	124N	Normal	NO	NA	98.321
124	124T	Tumor	NO	NA	83.102
126	126N	Normal	NO	NA	106.647
126	126T	Tumor	NO	NA	42.634
127	127N	Normal	NO	NA	113.199
127	127T	Tumor	NO	NA	58.57
128	128N	Normal	NO	NA	106.427
128	128T	Tumor	NO	NA	63.193
129	129N	Normal	NO	NA	116.689
129	129T	Tumor	NO	NA	30.406
130	130N	Normal	NO	NA	68.957
130	130T	Tumor	NO	NA	85.067
132	132N	Normal	NO	NA	124.173
132	132T	Tumor	NO	NA	98.791
137	137N	Normal	NO	NA	121.012
137	137T	Tumor	NO	NA	70.258
138	138N	Normal	NO	NA	133.891
138	138T	Tumor	NO	NA	86.48
139	139N	Normal	NO	NA	120.62
139	139T	Tumor	NO	NA	107.478
140	140N	Normal	NO	NA	117.224
140	140T	Tumor	NO	NA	75.012
141	141N	Normal	NO	NA	114.967
141	141T	Tumor	NO	NA	61.282
144	144N	Normal	NO	NA	60.476
144	144T	Tumor	NO	NA	96.282
145	145N	Normal	NO	NA	101.872
145	145T	Tumor	NO	NA	49.216
146	146N	Normal	NO	NA	118.908
146	146T	Tumor	NO	NA	46.5
147	147N	Normal	NO	NA	96.08
147	147T	Tumor	NO	NA	76.9
150	150N	Normal	NO	NA	139.801
150	150T	Tumor	NO	NA	51.553
152	152N	Normal	NO	NA	89.62
152	152T	Tumor	NO	NA	57.943
154	154N	Normal	NO	NA	82.83
154	154T	Tumor	NO	NA	76.064
157	157N	Normal	NO	NA	116.892
157	157T	Tumor	NO	NA	43.912
158	158N	Normal	NO	NA	99.527
158	158T	Tumor	NO	NA	38.033
159	159N	Normal	NO	NA	104.87
159	159T	Tumor	NO	NA	80.332
161	161N	Normal	NO	NA	110.838
161	161T	Tumor	NO	NA	60.254
162	162N	Normal	NO	NA	72.926
162	162T	Tumor	NO	NA	85.124
163	163N	Normal	NO	NA	78.619
163	163T	Tumor	NO	NA	44.755
166	166N	Normal	NO	NA	98.161
166	166T	Tumor	NO	NA	73.443
167	167N	Normal	NO	NA	99.906
167	167T	Tumor	NO	NA	38.278
168	168N	Normal	NO	NA	120.795
168	168T	Tumor	NO	NA	44.764
169	169N	Normal	NO	NA	104.219
169	169T	Tumor	NO	NA	58.191
170	170N	Normal	NO	NA	117.584
170	170T	Tumor	NO	NA	104.485
174	174N	Normal	NO	NA	97.83
174	174T	Tumor	NO	NA	67.247
175	175N	Normal	NO	NA	101.886
175	175T	Tumor	NO	NA	48.55
176	176N	Normal	NO	NA	132.386
176	176T	Tumor	NO	NA	49.845
177	177N	Normal	NO	NA	122.717
177	177T	Tumor	NO	NA	86.039
178	178N	Normal	NO	NA	112.053
178	178T	Tumor	NO	NA	50.98
179	179N	Normal	NO	NA	92.43
179	179T	Tumor	NO	NA	52.159
180	180N	Normal	NO	NA	117.155
180	180T	Tumor	NO	NA	78.884
181	181N	Normal	NO	NA	83.732
181	181T	Tumor	NO	NA	65.011
182	182N	Normal	NO	NA	99.91
182	182T	Tumor	NO	NA	37.721
183	183N	Normal	NO	NA	129.801
183	183T	Tumor	NO	NA	49.655
184	184N	Normal	NO	NA	86.671
184	184T	Tumor	NO	NA	48.983
185	185N	Normal	NO	NA	116.225
185	185T	Tumor	NO	NA	97.063
186	186N	Normal	NO	NA	97.874
186	186T	Tumor	NO	NA	65.737
188	188N	Normal	NO	NA	94.217
188	188T	Tumor	NO	NA	72.418
191	191N	Normal	NO	NA	93.716
191	191T	Tumor	NO	NA	71.177
192	192N	Normal	NO	NA	111.248
192	192T	Tumor	NO	NA	55.746
194	194N	Normal	NO	NA	82.149
194	194T	Tumor	NO	NA	50.487
195	195N	Normal	NO	NA	83.471
195	195T	Tumor	NO	NA	50.674
196	196N	Normal	NO	NA	94.563
196	196T	Tumor	NO	NA	76.167
197	197N	Normal	NO	NA	86.279
197	197T	Tumor	NO	NA	104.457
198	198N	Normal	NO	NA	91.048
198	198T	Tumor	NO	NA	54.736
200	200N	Normal	NO	NA	73.806
200	200T	Tumor	NO	NA	82.804
201	201N	Normal	NO	NA	60.848
201	201T	Tumor	NO	NA	47.204
202	202N	Normal	NO	NA	88.552
202	202T	Tumor	NO	NA	54.118
203	203N	Normal	NO	NA	89.634
203	203T	Tumor	NO	NA	34.167
204	204N	Normal	NO	NA	99.176
204	204T	Tumor	NO	NA	43.34
205	205N	Normal	NO	NA	63.398
205	205T	Tumor	NO	NA	71.486
207	207N	Normal	NO	NA	85.329
207	207T	Tumor	NO	NA	60.655
208	208N	Normal	YES	Germline	91.043
208	208T	Tumor	YES	Germline	105.45
209	209N	Normal	NO	NA	87.89
209	209T	Tumor	NO	NA	51.294
210	210N	Normal	NO	NA	79.644
210	210T	Tumor	NO	NA	62.11
211	211N	Normal	NO	NA	91.814
211	211T	Tumor	NO	NA	120.314
212	212N	Normal	NO	NA	85.071
212	212T	Tumor	NO	NA	101.396
213	213N	Normal	NO	NA	67.264
213	213T	Tumor	NO	NA	80.593
214	214N	Normal	NO	NA	81.41
214	214T	Tumor	NO	NA	70.762
215	215N	Normal	NO	NA	90.362
215	215T	Tumor	NO	NA	82.764
217	217N	Normal	NO	NA	96.934
217	217T	Tumor	NO	NA	47.476
218	218N	Normal	NO	NA	92.042
218	218T	Tumor	NO	NA	101.625
219	219N	Normal	NO	NA	63.099
219	219T	Tumor	NO	NA	26.905
