Patient	Sample	Type	Retrogene	Variant_Type	EXP
001	001N	Normal	NO	NA	4927.172
001	001T	Tumor	NO	NA	1446.888
002	002N	Normal	NO	NA	8174.405
002	002T	Tumor	NO	NA	5726.011
003	003N	Normal	NO	NA	9819.437
003	003T	Tumor	NO	NA	11544.886
004	004N	Normal	NO	NA	7106.846
004	004T	Tumor	NO	NA	9643.326
006	006N	Normal	NO	NA	2118.195
006	006T	Tumor	NO	NA	893.505
009	009N	Normal	NO	NA	9476.725
009	009T	Tumor	NO	NA	3836.145
010	010N	Normal	NO	NA	7172.925
010	010T	Tumor	YES	Somatic	3716.769
011	011N	Normal	NO	NA	6974.224
011	011T	Tumor	NO	NA	26731.417
012	012N	Normal	NO	NA	18710.926
012	012T	Tumor	NO	NA	4245.312
014	014N	Normal	NO	NA	18501.424
014	014T	Tumor	NO	NA	4951.549
015	015N	Normal	NO	NA	3449.949
015	015T	Tumor	NO	NA	5136.168
016	016N	Normal	NO	NA	3548.177
016	016T	Tumor	YES	Somatic	2143.194
017	017N	Normal	NO	NA	10003.076
017	017T	Tumor	NO	NA	1246.082
019	019N	Normal	NO	NA	21925.185
019	019T	Tumor	NO	NA	26191.768
020	020N	Normal	NO	NA	11635.476
020	020T	Tumor	NO	NA	7717.039
022	022N	Normal	NO	NA	11012.365
022	022T	Tumor	NO	NA	3576.586
023	023N	Normal	NO	NA	4816.855
023	023T	Tumor	NO	NA	5709.213
024	024N	Normal	NO	NA	13559.272
024	024T	Tumor	NO	NA	11856.029
026	026N	Normal	NO	NA	6034.706
026	026T	Tumor	NO	NA	2646.449
029	029N	Normal	NO	NA	12002.212
029	029T	Tumor	NO	NA	13124.976
030	030N	Normal	NO	NA	10866.037
030	030T	Tumor	YES	Somatic	11368.737
031	031N	Normal	NO	NA	9951.314
031	031T	Tumor	YES	Somatic	12259.17
032	032N	Normal	NO	NA	14405.467
032	032T	Tumor	NO	NA	4870.295
033	033N	Normal	NO	NA	12174.851
033	033T	Tumor	NO	NA	3791.273
036	036N	Normal	NO	NA	4491.2
036	036T	Tumor	NO	NA	6131.376
037	037N	Normal	NO	NA	10814.678
037	037T	Tumor	NO	NA	27.192
039	039N	Normal	NO	NA	8664.467
039	039T	Tumor	NO	NA	951.245
040	040N	Normal	NO	NA	4796.031
040	040T	Tumor	NO	NA	10730.379
041	041N	Normal	NO	NA	12554.054
041	041T	Tumor	NO	NA	6714.77
043	043N	Normal	NO	NA	4927.711
043	043T	Tumor	NO	NA	944.919
044	044N	Normal	NO	NA	10171.543
044	044T	Tumor	NO	NA	682.635
045	045N	Normal	NO	NA	24882.825
045	045T	Tumor	NO	NA	2381.275
046	046N	Normal	NO	NA	3653.016
046	046T	Tumor	NO	NA	19677.294
047	047N	Normal	NO	NA	6251.547
047	047T	Tumor	NO	NA	7958.733
048	048N	Normal	NO	NA	9190.073
048	048T	Tumor	NO	NA	728.455
049	049N	Normal	NO	NA	6774.418
049	049T	Tumor	NO	NA	5268.499
050	050N	Normal	NO	NA	19404.956
050	050T	Tumor	NO	NA	7661.691
053	053N	Normal	NO	NA	20055.938
053	053T	Tumor	NO	NA	3664.255
054	054N	Normal	NO	NA	33386.003
054	054T	Tumor	NO	NA	3337.088
055	055N	Normal	NO	NA	10274.66
055	055T	Tumor	NO	NA	6271.177
056	056N	Normal	NO	NA	4161.357
056	056T	Tumor	NO	NA	4920.223
057	057N	Normal	NO	NA	18308.886
057	057T	Tumor	NO	NA	18465.578
060	060N	Normal	NO	NA	2753.979
060	060T	Tumor	NO	NA	3388.158
061	061N	Normal	NO	NA	3459.982
061	061T	Tumor	NO	NA	7504.729
062	062N	Normal	NO	NA	6406.871
062	062T	Tumor	NO	NA	13844.523
063	063N	Normal	NO	NA	8019.525
063	063T	Tumor	NO	NA	14789.1
067	067N	Normal	NO	NA	5267.979
067	067T	Tumor	NO	NA	8066.041
068	068N	Normal	NO	NA	24783.488
068	068T	Tumor	NO	NA	10912.174
069	069N	Normal	NO	NA	9423.89
069	069T	Tumor	NO	NA	8365.116
070	070N	Normal	NO	NA	6860.849
070	070T	Tumor	NO	NA	9761.934
071	071N	Normal	NO	NA	3608.089
071	071T	Tumor	NO	NA	5668.827
072	072N	Normal	NO	NA	17292.661
072	072T	Tumor	NO	NA	2532.938
073	073N	Normal	NO	NA	7607.828
073	073T	Tumor	NO	NA	301.045
074	074N	Normal	NO	NA	6910.942
074	074T	Tumor	NO	NA	1951.573
075	075N	Normal	NO	NA	10300.706
075	075T	Tumor	NO	NA	813.973
076	076N	Normal	NO	NA	5129.789
076	076T	Tumor	NO	NA	637.623
077	077N	Normal	NO	NA	7092.935
077	077T	Tumor	NO	NA	2162.718
078	078N	Normal	NO	NA	10066.356
078	078T	Tumor	NO	NA	354.171
079	079N	Normal	NO	NA	9934.123
079	079T	Tumor	NO	NA	530.672
080	080N	Normal	NO	NA	24516.705
080	080T	Tumor	NO	NA	12365.333
081	081N	Normal	NO	NA	27339.253
081	081T	Tumor	NO	NA	13869.152
082	082N	Normal	NO	NA	8546.568
082	082T	Tumor	NO	NA	4266.908
083	083N	Normal	NO	NA	16122.571
083	083T	Tumor	NO	NA	11249.171
084	084N	Normal	NO	NA	4356.026
084	084T	Tumor	NO	NA	6545.922
085	085N	Normal	NO	NA	9142.953
085	085T	Tumor	NO	NA	3569.882
086	086N	Normal	NO	NA	20363.249
086	086T	Tumor	NO	NA	5895.94
087	087N	Normal	NO	NA	6156.818
087	087T	Tumor	NO	NA	4705.484
088	088N	Normal	NO	NA	12420.849
088	088T	Tumor	NO	NA	8.744
089	089N	Normal	NO	NA	11850.278
089	089T	Tumor	NO	NA	7640.998
090	090N	Normal	NO	NA	17424.152
090	090T	Tumor	NO	NA	27018.904
091	091N	Normal	NO	NA	5198.199
091	091T	Tumor	YES	Somatic	16021.573
092	092N	Normal	NO	NA	8847.18
092	092T	Tumor	NO	NA	13510.158
093	093N	Normal	NO	NA	5839.515
093	093T	Tumor	NO	NA	1290.633
094	094N	Normal	NO	NA	4990.465
094	094T	Tumor	NO	NA	3206.218
095	095N	Normal	NO	NA	3894.628
095	095T	Tumor	NO	NA	3634.298
097	097N	Normal	NO	NA	3732.85
097	097T	Tumor	NO	NA	1225.545
098	098N	Normal	NO	NA	10812.501
098	098T	Tumor	NO	NA	261.817
099	099N	Normal	NO	NA	8210.496
099	099T	Tumor	NO	NA	21133.649
100	100N	Normal	NO	NA	11349.421
100	100T	Tumor	YES	Somatic	253.347
101	101N	Normal	NO	NA	4681.252
101	101T	Tumor	NO	NA	5422.693
102	102N	Normal	NO	NA	6988.981
102	102T	Tumor	NO	NA	9923.495
105	105N	Normal	NO	NA	7273.566
105	105T	Tumor	YES	Somatic	12557.613
106	106N	Normal	NO	NA	4200.405
106	106T	Tumor	NO	NA	7449.62
107	107N	Normal	NO	NA	10174.771
107	107T	Tumor	NO	NA	3769.384
108	108N	Normal	NO	NA	9143.133
108	108T	Tumor	NO	NA	9122.074
109	109N	Normal	NO	NA	6963.07
109	109T	Tumor	NO	NA	6699.794
124	124N	Normal	NO	NA	12725.511
124	124T	Tumor	NO	NA	12084.924
126	126N	Normal	NO	NA	2586.819
126	126T	Tumor	NO	NA	371.309
127	127N	Normal	NO	NA	10177.938
127	127T	Tumor	YES	Somatic	5985.257
128	128N	Normal	NO	NA	5466.157
128	128T	Tumor	NO	NA	11614.181
129	129N	Normal	NO	NA	8718.766
